ID,ID_Trismegistos,ID_status,Name,Alternative_name,Family,Phylum,Earliest,Floruit,Latest,Issue,Attestation,Status,Region,Latitude,Longitude,Parent,Source,Relevance,Note
aequ1239,36,1,Aequian,,Indo-European,Italic,,,,0,epigraphic,dialect,Italy,,,umbr1253,,1,
akka1240,2,1,Akkadian,,Afro-Asiatic,Semitic,,,,,,language,ANE,,,semi1276,,1,
ammo1234,,1,Ammonite,,Afro-Asiatic,Semitic,,,,,,dialect,ANE,,,anci1244,,1,
anci1245,80,1,Ancient North Arabian,,Afro-Asiatic,Semitic,,,,,,language,Arabia,,,semi1276,,1,
sayh1236,,1,Ancient South Arabian,Sayhadic,Afro-Asiatic,Semitic,,,,,,language,Arabia,,,semi1276,,,
arab1395,6,1,Arabic,,Afro-Asiatic,Semitic,,,,,,language,Arabia,,,semi1276,,1,
aram1259,7,1,Aramaic,,Afro-Asiatic,Semitic,,,,,,,ANE,,,semi1276,,1,
clas1249,8,1,Armenian,,Indo-European,Armenian,500,,,,,,Caucasus,,,indo1319,,,
assy1242,,1,Assyrian,,Afro-Asiatic,Semitic,,,,,,,ANE,,,semi1276,,1,
aves1237,,1,Avestan,,Indo-European,Iranian,,,,,,,Iran,,,iran1269,,,
diya1235,,1,Babylonian,,Afro-Asiatic,Semitic,,,,,,,ANE,,,semi1276,,1,
bact1239,96,1,Bactrian,,Indo-European,Iranian,,,,,,,Iran,,,iran1269,,,
beja1238,9,1,Blemmyan,Beja,Afro-Asiatic,Cushitic,,,,,,,Africa,,,afro1255,,1,
bret1244,10,1,Breton,,Indo-European,Celtic,,,,,,,W Europe,,,celt1248,,,
bybl1200,,0,Byblic,,Unclassified,,,,,,,dialect,ANE,,,NA,,1,
camu1235,109,1,Camunic,,Unclassified,,,,,,,,Italy,,,NA,,,
cari1274,13,1,Carian,,Indo-European,Anatolian,-800,-650,-200,,,,Anatolia,,,anat1257,,1,
aghw1237,3,1,Caucasian Albanian,,Northeast Caucasian,Lezgic,,,,,,,Caucasus,,,nakh1245,,,
celt1247,15,1,Celtiberian,Hispano-Celtic,Indo-European,Celtic,-200,,200,,,language,Iberia,,,celt1248,,1,
cisa1237,17,1,Cisalpine Gaulish,,Indo-European,Celtic,,,,,,,W Europe,,,celt1248,,1,
copt1239,18; 49,1,Coptic,,Afro-Asiatic,Egyptian,300,,-1400,,,,Africa,28.38,30.83,afro1255,,0,Descendant of Egyptian
arca1234,20,1,Cypriot,Arcado-Cypriot,Indo-European,Balkan,,,,,,,Cyprus,,,myce1242,,,
daci1234,,1,Dacian,,Indo-European,Balkan,,,,,,,Balkans,,,grae1234,,1,
dada1236,,1,Dadanitic,,Afro-Asiatic,Semitic,,,,,,dialect,Arabia,,,anci1245,,,
duma1255,,1,Dumaitic,,Afro-Asiatic,Semitic,,,,,,dialect,Arabia,,,anci1245,,,
ebla1238,,1,Eblaite,,Afro-Asiatic,Semitic,,,,,,,ANE,,,akka1240,,1,
edom1234,,1,Edomite,,Afro-Asiatic,Semitic,,,,,,dialect,ANE,,,anci1244,,1,
egyp1246,1; 18; 19; 21; 22; 32; 33; 45; 49; 55; 76,1,Egyptian,,Afro-Asiatic,Egyptian,-3000,,500,,,,Africa,28.38,30.83,afro1255,,1,
elam1244,70,1,Elamite,,Unclassified,,-2300,,-350,,,language,Iran,,,NA,,1,
elym1237,,1,Elymian,,Indo-European,Unclassified,,,,,,,Italy,,,indo1319,,1,
eteo1200,100,0,Eteo-Cypriot,,Unclassified,,,,,,,,Cyprus,,,NA,,1,
eteo1236,92,1,Eteocretan,,Unclassified,,,,,,,,Balkans,,,NA,,,
etru1241,24,1,Etruscan,,Tyrrhenian,,-700,,50,,,language,Italy,,,tyrr1200,,1,
fali1291,91,1,Faliscan,,Indo-European,Italic,,,,0,epigraphic,dialect,Italy,42.3,12.35,lati1261,Bakkum (2009),1,
gala1252,,1,Galatian,,Indo-European,Celtic,,,,,,dialect,Anatolia,,,tran1282,,1,
gall1200,,0,Gallaecian,,Indo-European,Celtic,,,,,,,Iberia,,,celt1248,,1,
tran1282,25,1,Gaulish,,Indo-European,Celtic,-300,,500,,,language,W Europe,,,celt1248,,1,"""ceased to be spoken in the second half of the first millennium"" - Woodard"
geez1241,23,1,Ge'ez (Aksum),Ethiopian,Afro-Asiatic,Semitic,,,,,,,Africa,,,semi1276,,1,
nucl1302,26,1,Georgian,,Kartvelian,,400,,NA,,,,Caucasus,,,kart1248,"Woodard 2003, chapter 40",1,
goth1244,29,1,Gothic,,Indo-European,Germanic,300,,400,,,,Steppe,,,germ1287,,1,
gree1276,30,1,Greek,,Indo-European,Balkan,,,,,,,Balkans,,,myce1242,,1,
hadr1235,4,1,Hadrami,Hadramitic,Afro-Asiatic,Semitic,,,,,,dialect,Arabia,,,sayh1236,,,
hasa1249,,1,Hasaitic,,Afro-Asiatic,Semitic,,,,,,dialect,Arabia,,,anci1245,,,
hatt1246,,1,Hattic,,Unclassified,,,,,,,,Anatolia,,,NA,,1,
